LOCATION;PUTCODE;FILTNR;X;Y;START;EIND;MEETPUNT;MAAIVELD;INHANG;BK_FILT;OK_FILT;EXT_AAN;PROJECT;CORRECTIE_VAL
B14C0049_2;B14C0049;2;;;;;;;;;;;unknown;0
B14C0049_3;B14C0049;3;;;;;;;;;;;unknown;0
B14C0054_3;B14C0054;3;;;;;;;;;;;unknown;0
B14C0061_2;B14C0061;2;;;;;;;;;;;unknown;0
B14C0143_1;B14C0143;1;;;;;;;;;;;unknown;0
B14C0143_2;B14C0143;2;;;;;;;;;;;unknown;0
B14C0144_1;B14C0144;1;;;;;;;;;;;unknown;0
B14C0144_2;B14C0144;2;;;;;;;;;;;unknown;0
B14C0149_1;B14C0149;1;;;;;;;;;;;unknown;0
B14C0149_2;B14C0149;2;;;;;;;;;;;unknown;0
HHNK-B14C0141-001;HHNK-B14C0141;1;105360.042;530342.04;18-10-2018 07:00:00;;0.066;0.164;1.45;-0.514;-1.514;;unknown;0
HHNK-B14C0141-002;HHNK-B14C0141;2;105360.042;530342.04;18-10-2018 07:00:00;;0.094;0.164;3.61;-4.826;-5.826;;unknown;0
HHNK-B14C0146-001;HHNK-B14C0146;1;106284.9;529505.249;31-10-2018 07:00:00;;-0.266;-0.207;1.04;-0.306;-1.306;;unknown;0
HHNK-B14C0146-002;HHNK-B14C0146;2;106284.9;529505.249;31-10-2018 07:00:00;;-0.309;-0.207;3.54;-4.819;-5.819;;unknown;0
PB2_T10108_F-220;PB2_T10108_F-220;1;;;;;;;;;;;unknown;0
PB_1_001_04P001442_F-2224;PB_1_001_04P001442_F-2;224;104902.167;528228.205;15-10-2018 07:00:00;;0.296;-0.954;5.97;-21.354;-22.354;;unknown;0
PB_1_001_04P001442_F-374;PB_1_001_04P001442_F-374;1;104902.088;528228.131;15-10-2018 07:00:00;;0.466;-1.044;3.18;-1.984;-2.984;;unknown;0
PB_1_001_04P001442_F-924;PB_1_001_04P001442_F-924;1;;;;;;;;;;;unknown;0
PB_1_002_04P001442_F-2525;PB_1_002_04P001442_F-2;525;105097.075;528341.068;15-10-2018 07:00:00;;-0.018;-1.178;4.6;-24.978;-25.978;;unknown;0
PB_1_002_04P001442_F-375;PB_1_002_04P001442_F-375;1;105097.059;528341.072;15-10-2018 07:00:00;;0.002;-1.258;3.83;-3.658;-4.658;;unknown;0
PB_1_002_04P001442_F-975;PB_1_002_04P001442_F-975;1;;;;;;;;;;;unknown;0
PB_1_003_04P001442_F-2987;PB_1_003_04P001442_F-2;987;105401.924;528165.52;15-10-2018 07:00:00;;-0.1;-0.74;5.36;-29.71;-30.71;;unknown;0
PB_1_003_04P001442_F-337;PB_1_003_04P001442_F-337;1;105401.868;528165.502;16-10-2018 07:00:00;;0.119;-0.801;4.08;-2.991;-3.991;;unknown;0
PB_1_003_04P001442_F-937;PB_1_003_04P001442_F-937;1;;;;;;;;;;;unknown;0
PB_1_004_04P001442-01_F-1224;PB_1_004_04P001442-01_F-1;224;;;;;;;;;;;unknown;0
PB_1_004_04P001442-01_F-204;PB_1_004_04P001442-01_F-204;1;104741.43;528280.213;16-10-2018 07:00:00;;11.338;10.208;13.51;-2.052;-3.052;;unknown;0
PB_1_004_04P001442-01_F-2274;PB_1_004_04P001442-01_F-2;274;104741.437;528280.191;16-10-2018 07:00:00;;11.34;10.24;14.85;-21.96;-22.96;;unknown;0
PB_1_005_04P001442-01_F-2289;PB_1_005_04P001442-01_F-2;289;;;;;;;;;;;unknown;0
PB_1_005_04P001442-01_F-264;PB_1_005_04P001442-01_F-264;1;104701.644;528274.721;03-01-2019 07:00:00;05-02-2019 11:12:00;7.35;7.84;10.71;-3.65;-4.65;;unknown;0
PB_1_005_04P001442-01_F-264;PB_1_005_04P001442-01_F-264;1;104701.644;528274.721;05-02-2019 11:12:00;;7.35;7.84;10.71;-3.65;-4.65;;unknown;0
PB_1_005_04P001442-01_F-964;PB_1_005_04P001442-01_F-964;1;;;;;;;;;;;unknown;0
PB_2_001_04P001442_F-209;PB_2_001_04P001442_F-209;1;105138.183;529244.291;17-10-2018 07:00:00;;0.937;-1.383;3.49;-1.553;-2.553;;unknown;0
PB_2_001_04P001442_F-2889;PB_2_001_04P001442_F-2;889;105138.1;529244.254;17-10-2018 07:00:00;;0.73;-1.39;5.44;-27.69;-28.69;;unknown;0
PB_2_001_04P001442_F-889;PB_2_001_04P001442_F-889;1;;;;;;;;;;;unknown;0
PB_2_002_04P001442_F-2497;PB_2_002_04P001442_F-2;497;105353.138;529060.951;17-10-2018 07:00:00;;-0.276;-1.026;4.01;-24.976;-25.976;;unknown;0
PB_2_002_04P001442_F-297;PB_2_002_04P001442_F-297;1;105353.122;529060.968;17-10-2018 07:00:00;;-0.286;-1.106;3.85;-3.236;-4.236;;unknown;0
PB_2_002_04P001442_F-897;PB_2_002_04P001442_F-897;1;;;;;;;;;;;unknown;0
PB_2_003_04P001442-01_F-206;PB_2_003_04P001442-01_F-206;1;104924.599;529294.469;16-10-2018 07:00:00;;2.753;1.993;4.76;-2.107;-3.107;;unknown;0
PB_2_003_04P001442-01_F-2356;PB_2_003_04P001442-01_F-2;356;104924.593;529294.545;16-10-2018 07:00:00;09-01-2019 10:25:00;2.69;1.96;7.78;-23.53;-24.53;;unknown;0
PB_2_003_04P001442-01_F-2356;PB_2_003_04P001442-01_F-2;356;104924.593;529294.545;09-01-2019 10:25:00;;2.69;1.96;7.78;-23.53;-24.53;;unknown;0
PB_2_003_04P001442-01_F-906;PB_2_003_04P001442-01_F-906;1;;;;;;;;;;;unknown;0
PB_3_001_04P001442_F-2661;PB_3_001_04P001442_F-2;661;;;;;;;;;;;unknown;0
PB_3_001_04P001442_F-51;PB_3_001_04P001442_F;51;;;;;;;;;;;unknown;0
PB_3_001_04P001442_F-811;PB_3_001_04P001442_F-811;1;;;;;;;;;;;unknown;0
PB_4_001_04P001442_F-151;PB_4_001_04P001442_F;151;;;;;;;;;;;unknown;0
PB_4_002_04P001442_F-96;PB_4_002_04P001442_F;96;;;;;;;;;;;unknown;0
PB_5_001_04P001442_F-159;PB_5_001_04P001442_F;159;;;;;;;;;;;unknown;0
PB_5_001_04P001442_F-909;PB_5_001_04P001442_F-909;1;;;;;;;;;;;unknown;0
PB_5_002_04P001442_F-1087;PB_5_002_04P001442_F-1;87;;;;;;;;;;;unknown;0
PB_5_002_04P001442_F-187;PB_5_002_04P001442_F;187;;;;;;;;;;;unknown;0
PB_6_001_04P001442-01_F-2325;PB_6_001_04P001442-01_F-2;325;;;;;;;;;;;unknown;0
PB_6_001_04P001442-01_F-245;PB_6_001_04P001442-01_F-245;1;;;;;;;;;;;unknown;0
PB_6_001_04P001442-01_F-875;PB_6_001_04P001442-01_F-875;1;105089.504;530028.407;17-10-2018 07:00:00;;2.496;0.996;4.11;-7.394;-8.394;;unknown;0
PB_ZSNH-1_T9421_F-50;PB_ZSNH-1_T9421_F;50;;;;;;;;;;;unknown;0
ZSNH002_diep;ZSNH002_diep;1;105739;531576;01-01-2000 00:00:00;;3.3;2.8;;-13.2;-14.2;;unknown;0
ZSNH002b;ZSNH002b;1;105732;531580;01-01-2000 00:00:00;;6.47;5.97;;-0.5;-1.5;;unknown;0
ZSNH003;ZSNH003;1;104679;526740;01-01-2000 00:00:00;;7.44;6.94;;-0.5;-1.5;;unknown;0
ZSNH004a_diep;ZSNH004a_diep;1;105229;529953;01-01-2000 00:00:00;;2.67;2.17;;-13.5;-14.5;;unknown;0
ZSNH004a_ondiep;ZSNH004a_ondiep;1;105229;529954;01-01-2000 00:00:00;;2.68;2.18;;-1.4;-2.4;;unknown;0
ZSNH004c;ZSNH004c;1;105065;529987;01-01-2000 00:00:00;;;;;;;;unknown;0
ZSNH004d;ZSNH004d;1;105219;529958;01-01-2000 00:00:00;;5.72;5.22;;-0.5;-1.5;;unknown;0
ZSNH005_diep;ZSNH005_diep;1;104663;527264;01-01-2000 00:00:00;;2.66;2.16;;-13.8;-14.8;;unknown;0
ZSNH005b;ZSNH005b;1;104653;527266;01-01-2000 00:00:00;;5.7;5.2;;-0.5;-1.5;;unknown;0
