Titel:,,,,,,,,,,,
Gebruikersnaam:,,,,,,,,,,,
Periode aangevraagd:,01-01-1800,tot:,28-10-2021,,,,,,,,
Gegevens beschikbaar:,16-09-1996,tot:,27-08-2019,,,,,,,,
Datum: ,28-10-2021,,,,,,,,,,
Referentie:,NAP,,,,,,,,,,

NAP:,Normaal Amsterdams Peil,,,,,,,,,,
MV:,Maaiveld,,,,,,,,,,
MP:,Meetpunt,,,,,,,,,,

Locatie,Filternummer,Externe aanduiding,X-coordinaat,Y-coordinaat,Maaiveld (cm t.o.v. NAP),Datum maaiveld gemeten,Startdatum,Einddatum,Meetpunt (cm t.o.v. NAP),Meetpunt (cm t.o.v. MV),Bovenkant filter (cm t.o.v. NAP),Onderkant filter (cm t.o.v. NAP)
B14C0144,001,14CP7056,105541,530136,-23,30-03-1994,30-03-1994,10-11-2010,24,47,-141,-191
B14C0144,001,14CP7056,105541,530136,-26,10-11-2010,10-11-2010,27-08-2019,20,46,-145,-195


Locatie,Filternummer,Peildatum,Stand (cm t.o.v. MP),Stand (cm t.o.v. MV),Stand (cm t.o.v. NAP),Bijzonderheid,Opmerking,,,
B14C0144,001,16-09-1996,79,32,-55,,,,,,
B14C0144,001,30-09-1996,67,20,-43,,,,,,
B14C0144,001,15-10-1996,71,24,-47,,,,,,
B14C0144,001,26-10-1996,64,17,-40,,,,,,
B14C0144,001,13-11-1996,65,18,-41,,,,,,
B14C0144,001,28-11-1996,65,18,-41,,,,,,
B14C0144,001,13-12-1996,67,20,-43,,,,,,
B14C0144,001,14-01-1997,79,32,-55,,,,,,
B14C0144,001,28-01-1997,75,28,-51,,,,,,
B14C0144,001,14-02-1997,68,21,-44,,,,,,
B14C0144,001,03-03-1997,72,25,-48,,,,,,
B14C0144,001,14-03-1997,79,32,-55,,,,,,
B14C0144,001,28-03-1997,75,28,-51,,,,,,
B14C0144,001,14-04-1997,85,38,-61,,,,,,
B14C0144,001,29-04-1997,67,20,-43,,,,,,
B14C0144,001,14-05-1997,69,22,-45,,,,,,
B14C0144,001,28-05-1997,80,33,-56,,,,,,
B14C0144,001,13-06-1997,73,26,-49,,,,,,
B14C0144,001,01-07-1997,67,20,-43,,,,,,
B14C0144,001,18-07-1997,72,25,-48,,,,,,
B14C0144,001,29-07-1997,83,36,-59,,,,,,
B14C0144,001,13-08-1997,89,42,-65,,,,,,
B14C0144,001,28-08-1997,65,18,-41,,,,,,
B14C0144,001,15-10-1997,67,20,-43,,,,,,
B14C0144,001,29-10-1997,78,31,-54,,,,,,
B14C0144,001,14-11-1997,72,25,-48,,,,,,
B14C0144,001,28-11-1997,70,23,-46,,,,,,
B14C0144,001,15-12-1997,70,23,-46,,,,,,
B14C0144,001,27-12-1997,65,18,-41,,,,,,
B14C0144,001,14-01-1998,70,23,-46,,,,,,
B14C0144,001,29-01-1998,67,20,-43,,,,,,
B14C0144,001,16-02-1998,79,32,-55,,,,,,
B14C0144,001,27-02-1998,77,30,-53,,,,,,
B14C0144,001,16-03-1998,73,26,-49,,,,,,
B14C0144,001,14-04-1998,62,15,-38,,,,,,
B14C0144,001,28-04-1998,67,20,-43,,,,,,
B14C0144,001,14-05-1998,95,48,-71,,,,,,
B14C0144,001,27-05-1998,80,33,-56,,,,,,
B14C0144,001,13-06-1998,59,12,-35,,,,,,
B14C0144,001,26-06-1998,68,21,-44,,,,,,
B14C0144,001,14-07-1998,104,57,-80,,,,,,
B14C0144,001,14-08-1998,102,55,-78,,,,,,
B14C0144,001,29-08-1998,78,31,-54,,,,,,
B14C0144,001,14-09-1998,62,15,-38,,,,,,
B14C0144,001,28-09-1998,78,31,-54,,,,,,
B14C0144,001,14-11-1998,66,19,-42,,,,,,
B14C0144,001,27-11-1998,65,18,-41,,,,,,
B14C0144,001,14-12-1998,67,20,-43,,,,,,
B14C0144,001,28-12-1998,64,17,-40,,,,,,
B14C0144,001,15-01-1999,65,18,-41,,,,,,
B14C0144,001,28-01-1999,64,17,-40,,,,,,
B14C0144,001,15-02-1999,65,18,-41,,,,,,
B14C0144,001,01-03-1999,61,14,-37,,,,,,
B14C0144,001,15-03-1999,74,27,-50,,,,,,
B14C0144,001,29-03-1999,72,25,-48,,,,,,
B14C0144,001,15-04-1999,67,20,-43,,,,,,
B14C0144,001,28-04-1999,80,33,-56,,,,,,
B14C0144,001,17-05-1999,87,40,-63,,,,,,
B14C0144,001,28-05-1999,91,44,-67,,,,,,
B14C0144,001,14-06-1999,93,46,-69,,,,,,
B14C0144,001,28-06-1999,73,26,-49,,,,,,
B14C0144,001,13-07-1999,90,43,-66,,,,,,
B14C0144,001,28-07-1999,102,55,-78,,,,,,
B14C0144,001,13-08-1999,77,30,-53,,,,,,
B14C0144,001,27-08-1999,80,33,-56,,,,,,
B14C0144,001,13-09-1999,83,36,-59,,,,,,
B14C0144,001,27-09-1999,64,17,-40,,,,,,
B14C0144,001,14-10-1999,78,31,-54,,,,,,
B14C0144,001,28-10-1999,74,27,-50,,,,,,
B14C0144,001,15-11-1999,74,27,-50,,,,,,
B14C0144,001,29-11-1999,67,20,-43,,,,,,
B14C0144,001,14-12-1999,62,15,-38,,,,,,
B14C0144,001,27-12-1999,63,16,-39,,,,,,
B14C0144,001,15-01-2000,73,26,-49,,,,,,
B14C0144,001,27-01-2000,72,25,-48,,,,,,
B14C0144,001,15-02-2000,66,19,-42,,,,,,
B14C0144,001,28-02-2000,66,19,-42,,,,,,
B14C0144,001,14-03-2000,70,23,-46,,,,,,
B14C0144,001,28-03-2000,80,33,-56,,,,,,
B14C0144,001,14-04-2000,67,20,-43,,,,,,
B14C0144,001,27-04-2000,76,29,-52,,,,,,
B14C0144,001,15-05-2000,95,48,-71,,,,,,
B14C0144,001,29-05-2000,68,21,-44,,,,,,
B14C0144,001,14-06-2000,100,53,-76,,,,,,
B14C0144,001,27-06-2000,110,63,-86,,,,,,
B14C0144,001,14-07-2000,80,33,-56,,,,,,
B14C0144,001,27-07-2000,89,42,-65,,,,,,
B14C0144,001,14-08-2000,73,26,-49,,,,,,
B14C0144,001,28-08-2000,83,36,-59,,,,,,
B14C0144,001,14-09-2000,83,36,-59,,,,,,
B14C0144,001,12-10-2000,63,16,-39,,,,,,
B14C0144,001,26-10-2000,63,16,-39,,,,,,
B14C0144,001,29-01-2001,65,18,-41,,,,,,
B14C0144,001,14-03-2001,66,19,-42,,,,,,
B14C0144,001,28-03-2001,72,25,-48,,,,,,
B14C0144,001,13-04-2001,71,24,-47,,,,,,
B14C0144,001,27-04-2001,69,22,-45,,,,,,
B14C0144,001,14-05-2001,92,45,-68,,,,,,
B14C0144,001,29-05-2001,93,46,-69,,,,,,
B14C0144,001,14-06-2001,140,93,-116,,,,,,
B14C0144,001,27-06-2001,134,87,-110,,,,,,
B14C0144,001,13-07-2001,139,92,-115,,,,,,
B14C0144,001,27-07-2001,115,68,-91,,,,,,
B14C0144,001,13-08-2001,71,24,-47,,,,,,
B14C0144,001,28-08-2001,89,42,-65,,,,,,
B14C0144,001,02-10-2001,68,21,-44,,,,,,
B14C0144,001,12-10-2001,84,37,-60,,,,,,
