Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-28/10/2021
Datum: 28/10/2021
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B14C0145,001,14CP7057,105790,529750,-4,,-7,-94,-144,1994/04/07,1999/12/28

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B14C0145,001,1996/09/16 00:00:00,108,
B14C0145,001,1996/09/30 00:00:00,109,
B14C0145,001,1996/10/15 00:00:00,102,
B14C0145,001,1996/10/26 00:00:00,71,
B14C0145,001,1996/11/13 00:00:00,41,
B14C0145,001,1996/11/28 00:00:00,31,
B14C0145,001,1996/12/13 00:00:00,22,
B14C0145,001,1997/01/14 00:00:00,68,
B14C0145,001,1997/01/28 00:00:00,66,
B14C0145,001,1997/02/14 00:00:00,31,
B14C0145,001,1997/03/03 00:00:00,39,
B14C0145,001,1997/03/14 00:00:00,49,
B14C0145,001,1997/03/28 00:00:00,45,
B14C0145,001,1997/04/14 00:00:00,73,
B14C0145,001,1997/04/29 00:00:00,58,
B14C0145,001,1997/05/14 00:00:00,58,
B14C0145,001,1997/05/28 00:00:00,82,
