Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-28/10/2021
Datum: 28/10/2021
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B14C0147,001,14CP7058,105910,529120,-113,,-60,-560,-610,1994/04/07,2012/12/30
B14C0147,001,14CP7058,105910,529120,-127,,-74,-575,-625,2012/12/30,2019/08/27

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B14C0147,001,1996/09/16 00:00:00,37,
B14C0147,001,1996/09/30 00:00:00,27,
B14C0147,001,1996/10/15 00:00:00,4,
B14C0147,001,1996/10/26 00:00:00,-6,
B14C0147,001,1996/11/13 00:00:00,-13,
B14C0147,001,1996/11/28 00:00:00,-13,
B14C0147,001,1996/12/13 00:00:00,-8,
B14C0147,001,1997/01/14 00:00:00,0,
B14C0147,001,1997/01/28 00:00:00,0,
B14C0147,001,1997/02/14 00:00:00,-6,
B14C0147,001,1997/03/03 00:00:00,-4,
B14C0147,001,1997/03/14 00:00:00,0,
B14C0147,001,1997/03/28 00:00:00,-1,
B14C0147,001,1997/04/14 00:00:00,6,
B14C0147,001,1997/04/29 00:00:00,4,
B14C0147,001,1997/05/14 00:00:00,0,
B14C0147,001,1997/05/28 00:00:00,4,
B14C0147,001,1997/06/13 00:00:00,7,
B14C0147,001,1997/07/01 00:00:00,-4,
B14C0147,001,1997/07/18 00:00:00,7,
B14C0147,001,1997/07/29 00:00:00,5,
B14C0147,001,1997/08/13 00:00:00,14,
B14C0147,001,1997/08/28 00:00:00,7,
B14C0147,001,1997/10/15 00:00:00,16,
B14C0147,001,1997/10/29 00:00:00,5,
B14C0147,001,1997/11/14 00:00:00,-3,
B14C0147,001,1997/11/28 00:00:00,-4,
B14C0147,001,1997/12/15 00:00:00,-6,
B14C0147,001,1997/12/27 00:00:00,-8,
B14C0147,001,1998/01/14 00:00:00,-11,
B14C0147,001,1998/01/29 00:00:00,-4,
B14C0147,001,1998/02/16 00:00:00,-3,
B14C0147,001,1998/02/27 00:00:00,-1,
B14C0147,001,1998/03/16 00:00:00,-7,
B14C0147,001,1998/04/14 00:00:00,-13,
B14C0147,001,1998/04/28 00:00:00,-11,
B14C0147,001,1998/05/14 00:00:00,2,
B14C0147,001,1998/05/27 00:00:00,4,
B14C0147,001,1998/06/13 00:00:00,-11,
B14C0147,001,1998/06/26 00:00:00,-10,
B14C0147,001,1998/07/14 00:00:00,-3,
B14C0147,001,1998/08/14 00:00:00,7,
B14C0147,001,1998/08/29 00:00:00,-4,
B14C0147,001,1998/09/14 00:00:00,-17,
B14C0147,001,1998/09/28 00:00:00,-10,
B14C0147,001,1998/11/14 00:00:00,-18,
B14C0147,001,1998/11/27 00:00:00,-10,
B14C0147,001,1998/12/14 00:00:00,-9,
B14C0147,001,1998/12/28 00:00:00,-16,
B14C0147,001,1999/01/15 00:00:00,-16,
B14C0147,001,1999/01/28 00:00:00,-18,
B14C0147,001,1999/02/15 00:00:00,-9,
B14C0147,001,1999/03/15 00:00:00,-8,
B14C0147,001,1999/03/29 00:00:00,-9,
B14C0147,001,1999/04/15 00:00:00,-13,
B14C0147,001,1999/04/28 00:00:00,-3,
B14C0147,001,1999/05/17 00:00:00,4,
B14C0147,001,1999/05/28 00:00:00,10,
