Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-28/10/2021
Datum: 28/10/2021
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B14C0150,002,14CP7061,106400,530270,7,,2,-707,-757,1994/03/30,1999/05/17

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B14C0150,002,1996/11/28 00:00:00,50,
B14C0150,002,1996/12/13 00:00:00,45,
B14C0150,002,1997/01/14 00:00:00,60,
B14C0150,002,1997/01/28 00:00:00,57,
B14C0150,002,1997/02/14 00:00:00,44,
B14C0150,002,1997/03/03 00:00:00,60,
B14C0150,002,1997/03/14 00:00:00,59,
B14C0150,002,1997/03/28 00:00:00,59,
B14C0150,002,1997/04/14 00:00:00,64,
B14C0150,002,1997/04/29 00:00:00,56,
B14C0150,002,1997/05/14 00:00:00,56,
B14C0150,002,1997/07/01 00:00:00,68,
B14C0150,002,1997/07/18 00:00:00,61,
B14C0150,002,1997/07/29 00:00:00,64,
B14C0150,002,1997/08/13 00:00:00,67,
B14C0150,002,1997/08/28 00:00:00,60,
B14C0150,002,1997/10/15 00:00:00,45,
B14C0150,002,1997/10/29 00:00:00,63,
B14C0150,002,1997/11/14 00:00:00,52,
B14C0150,002,1997/11/28 00:00:00,59,
B14C0150,002,1997/12/15 00:00:00,62,
B14C0150,002,1997/12/27 00:00:00,47,
B14C0150,002,1998/01/14 00:00:00,40,
B14C0150,002,1998/01/29 00:00:00,62,
B14C0150,002,1998/02/16 00:00:00,47,
B14C0150,002,1998/02/27 00:00:00,49,
B14C0150,002,1998/03/16 00:00:00,57,
B14C0150,002,1998/04/14 00:00:00,45,
B14C0150,002,1998/04/28 00:00:00,53,
B14C0150,002,1998/05/14 00:00:00,63,
B14C0150,002,1998/05/27 00:00:00,54,
B14C0150,002,1998/06/13 00:00:00,26,
B14C0150,002,1998/06/26 00:00:00,52,
B14C0150,002,1998/07/14 00:00:00,45,
B14C0150,002,1998/08/14 00:00:00,54,
B14C0150,002,1998/08/29 00:00:00,53,
B14C0150,002,1998/09/14 00:00:00,,O
B14C0150,002,1998/09/28 00:00:00,42,
B14C0150,002,1998/10/14 00:00:00,39,
B14C0150,002,1998/10/27 00:00:00,,O
B14C0150,002,1998/11/14 00:00:00,,O
B14C0150,002,1998/11/27 00:00:00,42,
B14C0150,002,1998/12/14 00:00:00,,O
B14C0150,002,1998/12/28 00:00:00,,O
B14C0150,002,1999/01/15 00:00:00,,O
B14C0150,002,1999/01/28 00:00:00,,O
B14C0150,002,1999/02/15 00:00:00,48,
B14C0150,002,1999/03/15 00:00:00,53,
B14C0150,002,1999/03/29 00:00:00,54,
B14C0150,002,1999/04/15 00:00:00,47,
B14C0150,002,1999/04/28 00:00:00,63,
